"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 01 13:19:32 GMT 2024","Mon Apr 01 13:19:33 GMT 2024","270","web.tests","Авторизация пользователя","TestAuthenticationSuite","","","Авторизация с невалидным логином",""
"passed","Mon Apr 01 13:19:29 GMT 2024","Mon Apr 01 13:19:32 GMT 2024","3107","web.tests","Авторизация пользователя","TestAuthenticationSuite","","","Авторизация с валидными данными",""
"passed","Mon Apr 01 13:19:33 GMT 2024","Mon Apr 01 13:19:33 GMT 2024","146","web.tests","Авторизация пользователя","TestAuthenticationSuite","","","Авторизация с пустым логином и паролем",""
