"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 01 13:32:37 GMT 2024","Mon Apr 01 13:32:38 GMT 2024","1037","web.tests","Авторизация пользователя","TestAuthenticationSuite","","","Авторизация с валидными данными",""
"passed","Mon Apr 01 13:32:38 GMT 2024","Mon Apr 01 13:32:38 GMT 2024","253","web.tests","Авторизация пользователя","TestAuthenticationSuite","","","Авторизация с невалидным логином",""
"passed","Mon Apr 01 13:32:38 GMT 2024","Mon Apr 01 13:32:38 GMT 2024","150","web.tests","Авторизация пользователя","TestAuthenticationSuite","","","Авторизация с пустым логином и паролем",""
