"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 01 13:08:14 GMT 2024","Mon Apr 01 13:08:14 GMT 2024","145","web.tests","Авторизация пользователя","TestAuthenticationSuite","","","Авторизация с пустым логином и паролем",""
"passed","Mon Apr 01 13:08:14 GMT 2024","Mon Apr 01 13:08:14 GMT 2024","215","web.tests","Авторизация пользователя","TestAuthenticationSuite","","","Авторизация с невалидным логином",""
"passed","Mon Apr 01 13:08:12 GMT 2024","Mon Apr 01 13:08:14 GMT 2024","2035","web.tests","Авторизация пользователя","TestAuthenticationSuite","","","Авторизация с валидными данными",""
